Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,JPM,V,UNH,JNJ,XOM,COST,HD,PG,KO,PEP,DIS,NFLX,TSLA,AMD,SPY
2025-01-02,100.3663,100.4985,100.5778,100.1106,99.9152,101.3445,102.3124,100.5576,100.5418,101.2064,101.4292,99.6874,98.2153,97.5025,100.1974,100.3085,101.4862,99.6721,99.742,98.7973,99.6889
2025-01-03,99.1216,99.3122,98.4941,99.1097,100.3168,101.0469,102.3561,98.7274,100.5456,101.3248,101.0356,100.6972,97.0142,98.4067,99.4302,98.2658,100.5094,100.6219,101.8983,97.9708,100.8559
2025-01-06,100.0182,96.8036,99.5964,98.4052,100.3784,99.8047,104.5329,98.9996,99.645,102.297,100.7885,100.984,96.3901,99.86,99.1075,97.4277,98.8424,98.7879,101.6372,97.5632,101.9196
2025-01-07,101.1535,97.1151,100.141,96.6724,99.4605,99.7365,104.416,99.8773,99.3634,101.7496,100.1956,100.8569,97.8215,100.6354,98.8271,98.3343,99.9668,98.1769,99.4648,95.9047,100.7257
2025-01-08,98.8128,96.1723,98.8155,95.6475,100.5407,101.0001,104.5803,100.3271,99.144,101.6891,99.4999,102.5211,97.0737,99.5787,97.96,98.0048,100.5591,98.9861,101.7501,95.4196,99.6969
2025-01-09,97.2807,95.6941,98.2579,95.2375,101.4368,99.8242,105.04,101.0908,98.8231,101.5482,100.3328,102.2304,97.8223,100.3871,98.5319,97.4045,99.8131,98.2594,102.5867,95.5558,99.827
2025-01-10,97.43,94.9938,98.5693,96.1603,101.2427,98.7393,109.1243,99.4016,100.9462,100.5345,100.6413,100.069,97.1925,101.4291,98.8142,99.0557,97.9359,96.3806,102.5006,95.0987,101.9164
2025-01-13,97.061,94.8335,98.6314,98.1666,100.4525,99.4034,110.2447,99.7972,100.827,101.3365,101.4315,99.1091,97.4821,103.3443,98.7091,97.8186,97.0647,97.1569,102.0448,94.7895,99.6004
2025-01-14,97.0414,96.0543,98.2862,96.5518,101.1158,99.1395,109.313,99.4355,100.5324,102.1303,101.4208,99.7668,97.3168,102.2635,98.2006,96.8862,97.001,98.4752,103.3788,94.7669,99.9336
2025-01-15,96.0531,96.2355,98.1642,97.008,101.3441,99.9128,110.5915,98.8611,98.0336,102.8603,102.0474,100.2414,98.3417,101.986,99.1437,97.1323,98.3674,98.4221,102.7086,94.0241,98.297
2025-01-16,97.0721,96.0525,97.8679,95.8043,99.5982,99.8964,110.1124,99.8993,96.9873,104.775,101.5357,98.374,97.7126,102.9046,98.8636,97.5885,97.1514,96.1332,104.1336,94.8071,97.5516
2025-01-17,97.9824,94.8662,98.0472,96.3516,99.517,100.7411,109.4671,101.6884,96.6816,106.6132,104.2892,97.5226,95.886,102.9755,98.5004,98.1715,97.0529,96.9511,104.8134,96.4549,97.1259
2025-01-20,98.0601,92.9788,99.7939,96.2001,99.8304,99.4975,110.6672,103.9018,95.8891,106.1346,102.3453,96.8442,94.309,101.6041,98.6242,99.2508,97.8424,95.039,105.1216,95.9189,96.637
2025-01-21,99.3955,92.4377,96.7671,94.1096,98.7584,99.4831,110.7085,105.5541,97.4923,106.6108,103.9057,96.4204,93.709,102.1109,100.6527,99.4876,95.0861,95.3919,105.3053,96.479,96.02
2025-01-22,99.9547,92.3781,96.4925,95.1638,98.9837,99.2319,111.0792,105.4152,97.2995,105.816,105.6254,94.8415,92.3149,102.8224,99.0467,100.0736,96.273,94.3814,105.0844,96.202,96.0283
2025-01-23,98.9293,94.3589,96.6971,94.4754,97.2706,97.7945,111.0979,105.8623,98.8156,105.8457,104.5508,94.1291,92.7705,102.931,99.9659,99.7628,94.9166,93.0769,106.4113,96.6248,95.4135
2025-01-24,99.3681,94.5065,97.0411,93.872,98.8429,95.9769,111.5475,106.841,98.8888,105.0866,107.3854,93.3097,92.2534,103.2025,97.7205,99.8379,95.2955,92.5846,105.312,98.4575,93.7536
2025-01-27,98.2312,95.6276,96.609,92.6747,100.3342,96.7699,112.1178,106.9964,98.933,107.1496,108.6759,94.1776,94.92,102.8827,97.9756,99.9668,95.578,92.3812,103.2822,99.0603,94.6351
2025-01-28,99.2722,95.0563,94.5937,91.9499,100.0306,96.3632,109.5418,107.1645,98.8276,107.6182,109.9498,95.0964,92.9612,104.724,99.8451,100.2252,96.8301,91.6698,104.0465,96.9745,95.494
2025-01-29,99.2127,93.7143,94.9668,92.4233,100.4679,95.1883,110.4215,108.229,98.8321,107.337,109.9867,94.9302,93.1886,103.5982,100.4323,101.1586,97.4724,92.3197,104.8376,97.5043,96.4651
2025-01-30,98.9929,92.6352,96.9558,92.2136,97.604,95.0785,109.1279,108.1521,100.8917,108.8855,109.7004,94.4846,91.9358,102.8706,100.6381,101.8348,94.731,91.8268,105.4435,98.9575,94.698
2025-01-31,98.1873,91.8325,95.1875,92.578,96.259,96.3743,107.2555,107.2097,98.1221,106.086,109.4251,94.6434,91.393,102.8842,99.9636,101.8888,93.8431,92.9133,105.9607,98.6947,95.0383
2025-02-03,99.6384,94.2083,96.1794,92.981,95.9203,93.7724,107.1803,106.6778,95.7934,103.5527,109.9391,93.7205,91.5483,103.9751,100.0008,100.9043,93.9988,93.2273,105.5539,99.8809,95.8123
2025-02-04,99.4538,93.2843,95.801,94.4663,94.6941,92.1033,107.2884,107.4924,95.1711,104.5464,111.8033,92.4396,89.029,102.1235,99.6988,100.9863,93.7792,92.4502,106.5561,99.0572,94.634
2025-02-05,98.9439,94.2276,95.7305,94.0785,95.5094,91.0889,106.3992,107.4963,95.1877,104.6223,112.0468,91.4025,89.2823,100.5303,98.7629,100.9523,94.3182,91.4945,106.4979,97.307,94.6444
2025-02-06,98.5267,93.2121,94.5286,92.4259,97.8262,92.7002,107.4656,107.936,95.9792,104.9372,110.828,90.7089,91.3446,98.1019,98.42,101.1866,95.2159,89.7034,105.8772,97.472,94.5125
2025-02-07,99.1581,94.26,94.1499,93.6172,96.4546,93.0151,105.7486,108.8074,96.5256,103.2801,111.9298,89.4512,90.8489,98.1404,98.6545,103.9017,95.9136,90.0169,105.4816,95.439,96.625
2025-02-10,99.5939,94.6964,95.6302,93.2455,95.4902,93.8755,105.2334,108.3191,96.0816,103.2513,113.174,89.6253,91.1326,96.8322,97.7504,103.2507,95.6673,89.6347,108.0706,95.1648,98.8824
2025-02-11,100.0884,94.5186,96.3012,94.5011,95.7603,92.5998,104.4974,109.3066,97.2637,105.7638,114.0665,90.4136,92.2603,96.3864,96.8092,103.7752,93.571,87.1191,105.8439,96.6457,96.9271
2025-02-12,100.6071,94.4724,98.3241,94.9368,97.6297,91.3641,104.439,109.8046,98.4736,106.815,115.0916,88.7079,92.079,97.1544,95.2418,105.1144,93.061,86.5608,106.4806,94.4561,99.8717
2025-02-13,103.2262,93.733,99.7231,94.7875,96.2081,91.8564,104.7891,108.1895,98.6913,107.0328,114.718,88.7347,91.4393,96.4093,95.6894,105.238,93.5271,85.63,104.3565,93.0169,98.7808
2025-02-14,102.724,94.2361,100.25,95.1851,96.496,91.9207,103.5294,110.0784,99.838,106.4703,113.4462,88.5008,88.976,96.6773,96.3177,108.2322,92.3112,87.2645,104.2211,91.872,99.9502
2025-02-17,102.0945,93.723,102.37,97.4399,98.6282,92.5279,104.4331,109.4189,100.1652,105.9674,112.2704,88.8642,89.663,96.3306,96.5858,107.7423,93.0132,85.4995,103.6802,91.8023,101.121
2025-02-18,101.1024,92.3546,102.9107,99.8989,96.6926,92.3198,104.5121,107.2671,99.4926,103.2942,110.0886,88.8504,89.5413,97.1107,97.711,108.1622,94.0326,84.0333,101.1182,91.4003,99.92
2025-02-19,101.8525,90.9492,103.9383,99.9822,95.2175,92.6285,102.166,105.9303,100.3292,103.614,110.402,87.3141,88.4598,97.666,97.814,107.1303,94.1759,85.1601,101.5914,92.9478,100.5132
2025-02-20,103.2417,91.1377,103.5691,100.1745,94.7347,92.8044,99.7928,104.6404,100.4625,104.6706,110.2915,86.0013,88.5943,96.8584,98.2753,106.6794,90.7764,86.558,101.1291,94.0184,100.3835
2025-02-21,103.1007,92.8812,103.6518,101.4767,94.1447,93.6746,99.7781,104.7059,100.4641,102.7102,109.7107,86.0317,87.9759,96.6626,98.6342,106.9985,89.3947,85.7876,98.6135,94.5788,101.0535
2025-02-24,102.0664,93.0597,102.788,100.4521,95.0672,94.5862,99.5138,104.3624,102.2556,101.8982,105.8878,87.1004,87.4198,97.8809,98.5259,108.0907,91.4412,85.1394,99.612,94.7442,101.3336
2025-02-25,101.0616,92.9273,104.0159,100.8544,95.3433,92.7653,99.3904,103.9414,99.292,100.4927,104.3147,84.8166,88.0581,98.344,97.9003,108.5054,90.8434,85.7713,101.3422,95.1924,102.7989
2025-02-26,101.8537,93.2465,102.5555,100.8231,93.334,90.2971,99.3571,104.7172,97.6171,99.3352,105.7272,85.1692,86.6552,96.7091,100.5364,110.1573,88.706,83.4093,103.1706,94.2128,102.8919
2025-02-27,102.7662,94.7194,103.5228,101.2036,93.9131,91.3891,99.6263,105.1452,96.2365,99.399,104.8873,86.3937,87.7511,97.473,99.9926,110.0318,90.0307,81.567,103.616,95.1869,102.6849
2025-02-28,103.4382,94.9691,103.2862,100.1966,93.2645,92.701,100.7657,105.5447,95.8179,96.9436,105.3422,86.2352,86.2916,96.2126,99.1968,109.5941,90.0451,81.2927,103.6733,93.9251,104.0444
2025-03-03,102.6154,94.5019,104.7482,98.3034,94.7018,91.5726,99.4311,106.0651,95.5256,97.6608,103.5988,86.8065,85.6081,97.8573,99.7148,113.2085,91.247,82.8188,105.3389,94.8714,104.7715
2025-03-04,102.9017,95.7649,105.6963,95.8882,93.9912,89.5515,98.0425,106.8522,93.8132,98.5483,105.4029,86.0772,87.6065,99.0673,100.0166,113.7453,91.5508,82.3869,107.4871,96.2314,105.6957
2025-03-05,103.0459,96.2589,108.0309,94.6111,93.2759,89.658,96.7646,104.1832,92.7107,98.2518,105.2209,85.954,88.7997,99.4125,98.3447,112.7675,92.056,82.4867,108.9592,96.4752,104.8561
2025-03-06,103.3167,98.0493,108.9824,94.0918,93.8836,90.6651,97.1007,103.7286,91.7579,95.3701,105.5877,84.2982,88.9038,99.6003,99.6786,111.8319,92.4578,83.6167,107.7351,96.2715,103.5491
2025-03-07,104.4027,98.2651,106.9458,93.7613,94.7471,92.6421,98.5622,101.05,94.5041,94.2366,108.5761,81.9598,87.906,99.3507,99.566,110.574,93.2349,85.7577,107.9957,96.735,102.846
2025-03-10,104.6832,96.8318,106.8599,95.9665,95.2579,93.2178,98.0534,101.0937,96.5696,95.6411,110.57,82.8923,87.3495,100.163,98.2475,111.8237,95.8181,85.1661,108.5668,93.4697,102.0827
2025-03-11,105.5396,95.255,105.3675,97.2486,93.3505,92.8029,95.1535,101.0881,96.0936,92.5054,110.164,81.9183,87.4263,99.7183,99.659,111.3358,96.9411,85.1489,106.2346,93.8093,103.0503
2025-03-12,105.6252,97.1609,104.7142,96.1323,93.9551,91.8136,93.2276,102.3643,95.6753,92.1204,109.3825,81.4717,87.4657,100.0006,100.4101,111.5061,95.1201,87.0311,106.8347,93.6818,104.2643
2025-03-13,105.9923,99.1915,106.6305,96.5343,92.7962,91.8262,92.3003,103.8337,94.3649,90.8252,108.9561,80.1275,87.3704,101.0524,98.8979,111.4212,95.6313,85.4558,109.7888,93.6249,104.0704
2025-03-14,106.7983,98.9781,107.4494,96.0639,93.0586,91.4971,91.6846,104.0866,92.2287,91.7063,109.6248,78.7831,87.3381,100.3735,101.0297,112.4035,96.9502,86.5161,110.6351,94.4221,105.8729
2025-03-17,104.947,98.524,106.552,95.7366,91.4822,90.3893,91.2364,103.4635,92.0995,90.9664,109.4865,78.619,87.1137,99.634,101.8316,111.2672,98.3596,85.4653,112.6087,94.3374,107.6258
2025-03-18,104.5452,100.2671,105.2637,95.9498,91.9735,92.6391,91.2786,104.0676,91.0032,91.4084,108.9684,77.9337,85.6192,98.2162,101.8191,109.8403,97.8573,85.5705,112.8561,93.0554,107.9406
2025-03-19,103.9568,98.9439,105.3051,96.6654,91.0875,94.645,90.9378,103.4104,90.9106,92.0308,110.9039,78.2879,85.0902,96.9696,103.7807,110.1364,99.2349,85.3217,112.757,92.8977,106.8813
2025-03-20,103.1628,97.8872,103.779,96.2726,89.6963,95.9441,92.0901,103.4087,89.1816,94.0812,110.752,78.7142,86.0293,94.8652,103.9793,110.9335,100.3459,84.3465,113.2741,92.973,108.921
2025-03-21,102.8228,98.6458,102.9465,97.5095,90.4679,94.8897,91.3461,104.6397,88.3698,93.8523,113.8508,79.0179,84.6282,95.6996,103.9443,111.377,103.4919,83.3572,112.1705,93.1013,108.8413
2025-03-24,104.684,98.1798,103.3327,96.1824,90.7306,95.8683,90.4057,103.9416,88.5276,94.2768,113.9748,79.2445,84.4359,97.7997,103.1239,110.3004,102.5646,83.6342,110.8807,93.2824,109.0062
2025-03-25,103.602,98.1738,104.7752,96.1898,90.0646,96.607,90.9268,104.9514,88.9175,92.6116,116.4429,80.7591,83.6094,99.4869,103.8465,111.2008,101.942,84.6393,112.5785,94.4531,108.5629
2025-03-26,104.8128,97.9814,105.5434,99.2354,91.6467,97.1214,89.2665,105.8081,89.364,93.9441,116.9433,79.7311,83.7212,97.5644,104.4421,110.2126,101.5682,84.5077,114.4478,93.2302,107.4099
2025-03-27,102.7174,98.3791,102.681,99.5014,91.1634,98.5888,89.6849,104.6027,87.9592,93.0906,118.3025,79.6785,83.3316,98.4167,104.4605,109.525,100.9725,84.5788,113.0947,93.427,105.5335
2025-03-28,102.3054,100.0549,103.0567,101.2275,91.1985,99.3434,89.7954,105.8323,88.8659,92.4663,117.2783,80.7689,84.8222,100.1106,103.4749,108.2913,99.8998,85.1605,114.4161,94.8844,106.338
2025-03-31,102.5054,100.1637,103.1458,101.3387,91.4933,100.2295,89.6367,106.7232,88.0167,92.4416,116.0829,82.0039,85.3394,99.5634,103.6364,109.9955,96.6422,84.1733,114.2967,92.9297,105.343
2025-04-01,103.2291,100.9407,103.6594,102.0475,90.8155,100.9985,91.3614,106.8538,88.6876,90.7241,116.725,80.6167,84.0065,99.6846,103.5496,110.8347,96.1394,84.9238,114.7638,93.1303,109.2825
2025-04-02,104.1139,98.4876,105.6894,101.978,91.3304,101.4123,90.6818,105.8808,88.6763,90.9735,118.1179,80.3151,84.6859,97.3115,101.9058,111.6423,96.5665,85.7629,115.3993,92.4784,107.8675
2025-04-03,105.1098,98.4301,103.1048,101.7696,90.7476,99.2648,92.9518,104.7947,87.2237,92.0358,118.175,81.6348,83.9023,97.6235,100.1218,113.3258,95.9966,88.4847,116.7845,92.0679,106.2522
2025-04-04,104.6708,97.4391,102.3761,100.8222,90.3004,99.3645,92.7007,104.1208,86.8934,92.3599,116.3648,82.134,83.3234,96.3854,100.8031,117.216,98.2522,88.0863,116.9005,91.0737,106.9046
2025-04-07,104.0917,96.0243,103.1046,101.3441,91.7891,98.7035,91.2909,104.8009,87.2752,90.6156,114.4807,82.3267,83.6378,96.6166,97.7044,114.8363,98.268,87.6034,118.8955,90.8886,108.8846
2025-04-08,105.1689,95.0178,101.1662,100.3138,90.6501,97.1992,91.3675,103.606,87.9195,90.481,112.5369,82.1119,83.1457,94.8234,97.9455,113.8233,99.8022,88.4155,119.3378,92.9191,108.969
2025-04-09,104.9278,94.6376,102.9739,101.1182,88.0631,99.1808,90.1951,104.1514,87.7709,91.2903,110.175,81.7346,84.0413,95.4431,97.3852,112.9848,100.1158,89.2889,120.235,91.5199,109.7199
2025-04-10,103.3338,95.6834,103.4301,102.4437,89.782,101.2601,89.3851,102.6109,89.3992,89.256,110.3198,82.0178,83.2638,96.6238,98.9261,111.8371,101.1136,88.7174,119.0388,90.2443,107.3192
2025-04-11,101.938,94.1725,104.4862,102.8953,92.5711,102.9252,89.812,102.3599,90.4866,88.1122,111.8193,81.7698,82.6477,95.7199,98.3421,110.4002,101.453,88.2892,122.1626,88.8454,106.4503
2025-04-14,100.8194,94.2071,103.7728,102.5425,92.122,103.2409,90.4128,102.4947,90.2083,89.044,111.8013,81.728,81.9993,94.4229,99.1234,110.004,103.1331,88.8644,122.8533,90.7063,105.0876
2025-04-15,101.4227,93.6614,104.7911,103.1026,90.0056,104.9278,89.7403,105.5466,91.024,89.333,108.8094,81.8051,81.4446,92.0113,98.6524,108.4097,103.2024,87.9862,123.9089,90.2044,102.7248
2025-04-16,101.5962,93.2938,106.1434,102.7214,89.6708,104.943,90.8099,103.8165,93.1609,89.7757,108.5606,81.1422,82.526,91.7176,98.7872,108.8464,103.8186,87.5538,121.5406,90.1767,102.8691
2025-04-17,102.4415,94.4232,106.4404,103.8811,89.3634,105.1987,92.0801,105.6666,95.3786,91.8015,108.3488,81.662,83.151,91.0797,99.6645,108.9139,104.276,87.648,120.3466,89.7419,100.1374
2025-04-18,101.9176,95.0349,106.7402,101.623,89.1599,103.8274,93.6809,105.8568,93.9834,92.3191,111.1085,84.5683,84.8749,89.4002,99.1128,109.5445,103.9159,88.7018,122.1477,88.7306,98.5612
2025-04-21,102.1117,96.5724,107.0871,101.2146,87.9766,104.3232,94.2779,106.3804,92.9443,93.0508,109.1826,82.7841,87.2162,89.8875,100.3052,110.2139,104.4222,88.0606,122.5689,88.4805,97.9278
2025-04-22,102.8812,96.3935,105.9834,98.8253,88.5906,104.3988,95.8331,106.5316,94.6153,96.1275,108.6719,83.1066,86.1441,89.4035,99.1162,111.0143,107.2599,86.1351,119.7862,91.1295,96.9558
2025-04-23,102.5,95.5919,105.7959,97.0681,89.15,102.7795,93.6944,107.1016,93.4213,95.8812,110.9194,82.3519,86.2169,88.2568,99.4672,110.518,106.9124,84.1766,121.288,92.6646,97.4181
2025-04-24,103.0633,95.3354,105.6024,98.6698,87.5655,102.7164,93.3377,106.9043,91.9504,94.9675,111.5199,82.9245,85.0085,87.6714,100.5746,113.3672,107.4519,82.914,120.4991,91.721,97.776
